Step    T(K)    KE(kJ)    PE(kJ)    TotE(kJ)    P(MPa)
  2830    137.521  1.28634e+03 -4.11611e+03 -2.82977e+03  2.39115e+01
  2840    135.349  1.26603e+03 -4.13138e+03 -2.86535e+03  2.21776e+01
  2850    133.387  1.24767e+03 -4.14671e+03 -2.89904e+03  2.04481e+01
  2860    131.631  1.23125e+03 -4.16255e+03 -2.93130e+03  1.87237e+01
  2870    129.958  1.21560e+03 -4.17711e+03 -2.96151e+03  1.70919e+01
  2880    128.209  1.19924e+03 -4.18889e+03 -2.98965e+03  1.56383e+01
  2890    126.313  1.18150e+03 -4.19675e+03 -3.01525e+03  1.44234e+01
  2900    124.327  1.16292e+03 -4.20218e+03 -3.03925e+03  1.34063e+01
  2910    122.383  1.14474e+03 -4.20540e+03 -3.06066e+03  1.25654e+01
  2920    120.574  1.12782e+03 -4.20765e+03 -3.07983e+03  1.18500e+01
  2930    118.888  1.11205e+03 -4.20818e+03 -3.09612e+03  1.12772e+01
  2940    117.323  1.09741e+03 -4.20767e+03 -3.11026e+03  1.08154e+01
  2950    116.034  1.08535e+03 -4.20729e+03 -3.12194e+03  1.03940e+01
  2960    115.284  1.07834e+03 -4.20922e+03 -3.13088e+03  9.89762e+00
  2970    115.245  1.07798e+03 -4.21516e+03 -3.13718e+03  9.24414e+00
  2980    115.854  1.08367e+03 -4.22422e+03 -3.14055e+03  8.47033e+00
  2990    116.856  1.09304e+03 -4.23521e+03 -3.14217e+03  7.65783e+00
  3000    117.979  1.10355e+03 -4.24484e+03 -3.14130e+03  6.95689e+00
  3010    119.066  1.11371e+03 -4.25183e+03 -3.13812e+03  6.44221e+00
  3020    120.072  1.12313e+03 -4.25544e+03 -3.13232e+03  6.15200e+00
  3030    121.013  1.13192e+03 -4.25622e+03 -3.12430e+03  6.07405e+00
  3040    121.937  1.14057e+03 -4.25514e+03 -3.11457e+03  6.17577e+00
  3050    122.904  1.14962e+03 -4.25181e+03 -3.10219e+03  6.46119e+00
  3060    123.948  1.15938e+03 -4.24705e+03 -3.08767e+03  6.89954e+00
  3070    125.085  1.17001e+03 -4.24149e+03 -3.07147e+03  7.46672e+00
  3080    126.365  1.18199e+03 -4.23473e+03 -3.05274e+03  8.16220e+00
